"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь - ноябрь 2022 г.)"
"Республика Мордовия","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе экономической направленности",617
"Республика Мордовия","3_4","Число тяжких и особо тяжких преступлений, совершенных на улицах, площадях, в парках, скверах, по отношению к 2011 году (%)","-30,76923077"
"Республика Мордовия","3_4","Количество тяжких и особо тяжких преступлений, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых тяжких и особо тяжких преступлений), по отношению к 2011 году (%)","198,3050847"
"Республика Мордовия","3_4","Количество преступлений, предусмотренных ст.ст. 105-107 УК РФ, в том числе с применением ч. 3 ст. 30 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых убийств), по отношению к 2011 году (%)",-100
"Республика Мордовия","3_4","Количество преступлений, предусмотренных ст. 111 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых умышленных причинений тяжкого вреда здоровью), по отношению к 2011 году (%)",-100
"Республика Мордовия","3_4","Количество преступлений, предусмотренных ст. 162 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых разбоев), по отношению к 2011 году (%)",-50
"Республика Мордовия","3_4","Доля несовершеннолетних участников преступлений от численности детского населения в возрасте от 14 до 17 лет (%)","0,323030365"
"Республика Татарстан","3_4","Количество преступлений, зарегистрированных в отчетном периоде",48474
"Республика Татарстан","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе тяжких и особо тяжких",13876
"Республика Татарстан","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе экономической направленности",2477
"Республика Татарстан","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде) ",23274
"Республика Татарстан","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе тяжких и особо тяжких",5923
"Республика Татарстан","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе экономической направленности",2065
"Республика Татарстан","3_4","Число тяжких и особо тяжких преступлений, совершенных на улицах, площадях, в парках, скверах, по отношению к 2011 году (%)","-2,172481896"
"Республика Татарстан","3_4","Количество тяжких и особо тяжких преступлений, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых тяжких и особо тяжких преступлений), по отношению к 2011 году (%)","128,7629494"
"Республика Татарстан","3_4","Количество преступлений, предусмотренных ст.ст. 105-107 УК РФ, в том числе с применением ч. 3 ст. 30 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых убийств), по отношению к 2011 году (%)","-37,5"
"Республика Татарстан","3_4","Количество преступлений, предусмотренных ст. 111 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых умышленных причинений тяжкого вреда здоровью), по отношению к 2011 году (%)",-88
"Республика Татарстан","3_4","Количество преступлений, предусмотренных ст. 162 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых разбоев), по отношению к 2011 году (%)","-98,07692308"
"Республика Татарстан","3_4","Доля несовершеннолетних участников преступлений от численности детского населения в возрасте от 14 до 17 лет (%)","0,312205727"
"Удмуртская республика","3_4","Количество преступлений, зарегистрированных в отчетном периоде",22853
"Удмуртская республика","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе тяжких и особо тяжких",6640
"Удмуртская республика","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе экономической направленности",1309
"Удмуртская республика","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде) ",13121
"Удмуртская республика","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе тяжких и особо тяжких",3545
"Удмуртская республика","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе экономической направленности",1031
"Удмуртская республика","3_4","Число тяжких и особо тяжких преступлений, совершенных на улицах, площадях, в парках, скверах, по отношению к 2011 году (%)","-3,836930456"
"Удмуртская республика","3_4","Количество тяжких и особо тяжких преступлений, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых тяжких и особо тяжких преступлений), по отношению к 2011 году (%)","76,1730652"
"Удмуртская республика","3_4","Количество преступлений, предусмотренных ст.ст. 105-107 УК РФ, в том числе с применением ч. 3 ст. 30 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых убийств), по отношению к 2011 году (%)",-100
"Удмуртская республика","3_4","Количество преступлений, предусмотренных ст. 111 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых умышленных причинений тяжкого вреда здоровью), по отношению к 2011 году (%)",-100
"Удмуртская республика","3_4","Количество преступлений, предусмотренных ст. 162 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых разбоев), по отношению к 2011 году (%)","-93,75"
"Удмуртская республика","3_4","Доля несовершеннолетних участников преступлений от численности детского населения в возрасте от 14 до 17 лет (%)","0,607671857"
"Чувашская республика","3_4","Количество преступлений, зарегистрированных в отчетном периоде",11784
"Чувашская республика","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе тяжких и особо тяжких",3355
"Чувашская республика","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе экономической направленности",858
"Чувашская республика","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде) ",6683
"Чувашская республика","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе тяжких и особо тяжких",1509
"Чувашская республика","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе экономической направленности",411
"Чувашская республика","3_4","Число тяжких и особо тяжких преступлений, совершенных на улицах, площадях, в парках, скверах, по отношению к 2011 году (%)","-22,64808362"
"Чувашская республика","3_4","Количество тяжких и особо тяжких преступлений, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых тяжких и особо тяжких преступлений), по отношению к 2011 году (%)","15,96638655"
"Чувашская республика","3_4","Количество преступлений, предусмотренных ст.ст. 105-107 УК РФ, в том числе с применением ч. 3 ст. 30 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых убийств), по отношению к 2011 году (%)",-100
"Чувашская республика","3_4","Количество преступлений, предусмотренных ст. 111 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых умышленных причинений тяжкого вреда здоровью), по отношению к 2011 году (%)",-100
"Чувашская республика","3_4","Количество преступлений, предусмотренных ст. 162 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых разбоев), по отношению к 2011 году (%)",-100
"Чувашская республика","3_4","Доля несовершеннолетних участников преступлений от численности детского населения в возрасте от 14 до 17 лет (%)","0,310014827"
"Кировская область","3_4","Количество преступлений, зарегистрированных в отчетном периоде",17109
"Кировская область","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе тяжких и особо тяжких",4888
"Кировская область","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе экономической направленности",815
"Кировская область","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде) ",9287
"Кировская область","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе тяжких и особо тяжких",1762
"Кировская область","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе экономической направленности",451
"Кировская область","3_4","Число тяжких и особо тяжких преступлений, совершенных на улицах, площадях, в парках, скверах, по отношению к 2011 году (%)","73,44753747"
"Кировская область","3_4","Количество тяжких и особо тяжких преступлений, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых тяжких и особо тяжких преступлений), по отношению к 2011 году (%)","98,75679876"
"Кировская область","3_4","Количество преступлений, предусмотренных ст.ст. 105-107 УК РФ, в том числе с применением ч. 3 ст. 30 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых убийств), по отношению к 2011 году (%)",-100
"Кировская область","3_4","Количество преступлений, предусмотренных ст. 111 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых умышленных причинений тяжкого вреда здоровью), по отношению к 2011 году (%)","-88,88888889"
"Кировская область","3_4","Количество преступлений, предусмотренных ст. 162 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых разбоев), по отношению к 2011 году (%)","-87,5"
"Кировская область","3_4","Доля несовершеннолетних участников преступлений от численности детского населения в возрасте от 14 до 17 лет (%)","0,564728029"
"Нижегородская область","3_4","Количество преступлений, зарегистрированных в отчетном периоде",36926
"Нижегородская область","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе тяжких и особо тяжких",9826
"Нижегородская область","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе экономической направленности",2480
"Нижегородская область","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде) ",19260
"Нижегородская область","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе тяжких и особо тяжких",4864
"Нижегородская область","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе экономической направленности",1746
"Нижегородская область","3_4","Число тяжких и особо тяжких преступлений, совершенных на улицах, площадях, в парках, скверах, по отношению к 2011 году (%)","-62,13666497"
"Нижегородская область","3_4","Количество тяжких и особо тяжких преступлений, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых тяжких и особо тяжких преступлений), по отношению к 2011 году (%)","-41,09974804"
"Нижегородская область","3_4","Количество преступлений, предусмотренных ст.ст. 105-107 УК РФ, в том числе с применением ч. 3 ст. 30 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых убийств), по отношению к 2011 году (%)",-100
"Нижегородская область","3_4","Количество преступлений, предусмотренных ст. 111 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых умышленных причинений тяжкого вреда здоровью), по отношению к 2011 году (%)","-89,36170213"
"Нижегородская область","3_4","Количество преступлений, предусмотренных ст. 162 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых разбоев), по отношению к 2011 году (%)","-96,64804469"
"Нижегородская область","3_4","Доля несовершеннолетних участников преступлений от численности детского населения в возрасте от 14 до 17 лет (%)","0,36548807"
"Оренбургская область","3_4","Количество преступлений, зарегистрированных в отчетном периоде",20215
"Оренбургская область","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе тяжких и особо тяжких",4989
"Оренбургская область","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе экономической направленности",964
"Оренбургская область","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде) ",13008
"Оренбургская область","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе тяжких и особо тяжких",2682
"Оренбургская область","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе экономической направленности",884
"Оренбургская область","3_4","Число тяжких и особо тяжких преступлений, совершенных на улицах, площадях, в парках, скверах, по отношению к 2011 году (%)","-0,782472613"
"Оренбургская область","3_4","Количество тяжких и особо тяжких преступлений, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых тяжких и особо тяжких преступлений), по отношению к 2011 году (%)","16,4453524"
"Оренбургская область","3_4","Количество преступлений, предусмотренных ст.ст. 105-107 УК РФ, в том числе с применением ч. 3 ст. 30 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых убийств), по отношению к 2011 году (%)",-100
"Оренбургская область","3_4","Количество преступлений, предусмотренных ст. 111 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых умышленных причинений тяжкого вреда здоровью), по отношению к 2011 году (%)",-100
"Оренбургская область","3_4","Количество преступлений, предусмотренных ст. 162 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых разбоев), по отношению к 2011 году (%)","-85,71428571"
"Оренбургская область","3_4","Доля несовершеннолетних участников преступлений от численности детского населения в возрасте от 14 до 17 лет (%)","0,354519545"
"Пензенская область","3_4","Количество преступлений, зарегистрированных в отчетном периоде",12327
"Пензенская область","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе тяжких и особо тяжких",3666
"Пензенская область","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе экономической направленности",778
"Пензенская область","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде) ",7994
"Пензенская область","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе тяжких и особо тяжких",2038
"Пензенская область","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе экономической направленности",584
"Пензенская область","3_4","Число тяжких и особо тяжких преступлений, совершенных на улицах, площадях, в парках, скверах, по отношению к 2011 году (%)","75,6097561"
"Пензенская область","3_4","Количество тяжких и особо тяжких преступлений, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых тяжких и особо тяжких преступлений), по отношению к 2011 году (%)","80,37037037"
"Пензенская область","3_4","Количество преступлений, предусмотренных ст.ст. 105-107 УК РФ, в том числе с применением ч. 3 ст. 30 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых убийств), по отношению к 2011 году (%)",-100
"Пензенская область","3_4","Количество преступлений, предусмотренных ст. 111 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых умышленных причинений тяжкого вреда здоровью), по отношению к 2011 году (%)",-100
"Пензенская область","3_4","Количество преступлений, предусмотренных ст. 162 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых разбоев), по отношению к 2011 году (%)",-100
"Пензенская область","3_4","Доля несовершеннолетних участников преступлений от численности детского населения в возрасте от 14 до 17 лет (%)","0,245830032"
"Пермский край","3_4","Количество преступлений, зарегистрированных в отчетном периоде",38300
"Пермский край","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе тяжких и особо тяжких",9702
"Пермский край","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе экономической направленности",1749
"Пермский край","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде) ",18328
"Пермский край","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе тяжких и особо тяжких",4293
"Пермский край","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе экономической направленности",1094
"Пермский край","3_4","Число тяжких и особо тяжких преступлений, совершенных на улицах, площадях, в парках, скверах, по отношению к 2011 году (%)","-9,621993127"
"Пермский край","3_4","Количество тяжких и особо тяжких преступлений, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых тяжких и особо тяжких преступлений), по отношению к 2011 году (%)","-21,84776293"
"Пермский край","3_4","Количество преступлений, предусмотренных ст.ст. 105-107 УК РФ, в том числе с применением ч. 3 ст. 30 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых убийств), по отношению к 2011 году (%)","-96,15384615"
"Пермский край","3_4","Количество преступлений, предусмотренных ст. 111 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых умышленных причинений тяжкого вреда здоровью), по отношению к 2011 году (%)","-97,32142857"
"Пермский край","3_4","Количество преступлений, предусмотренных ст. 162 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых разбоев), по отношению к 2011 году (%)",-100
"Пермский край","3_4","Доля несовершеннолетних участников преступлений от численности детского населения в возрасте от 14 до 17 лет (%)","0,429781977"
"Самарская область","3_4","Количество преступлений, зарегистрированных в отчетном периоде",43739
"Самарская область","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе тяжких и особо тяжких",11367
"Самарская область","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе экономической направленности",3372
"Самарская область","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде) ",24059
"Самарская область","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе тяжких и особо тяжких",5842
"Самарская область","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе экономической направленности",1924
"Самарская область","3_4","Число тяжких и особо тяжких преступлений, совершенных на улицах, площадях, в парках, скверах, по отношению к 2011 году (%)","-15,68627451"
"Самарская область","3_4","Количество тяжких и особо тяжких преступлений, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых тяжких и особо тяжких преступлений), по отношению к 2011 году (%)","-40,68843778"
"Самарская область","3_4","Количество преступлений, предусмотренных ст.ст. 105-107 УК РФ, в том числе с применением ч. 3 ст. 30 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых убийств), по отношению к 2011 году (%)","-92,59259259"
"Самарская область","3_4","Количество преступлений, предусмотренных ст. 111 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых умышленных причинений тяжкого вреда здоровью), по отношению к 2011 году (%)","-97,4025974"
"Самарская область","3_4","Количество преступлений, предусмотренных ст. 162 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых разбоев), по отношению к 2011 году (%)","-99,68051118"
"Самарская область","3_4","Доля несовершеннолетних участников преступлений от численности детского населения в возрасте от 14 до 17 лет (%)","0,302543638"
"Саратовская область","3_4","Количество преступлений, зарегистрированных в отчетном периоде",27127
"Саратовская область","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе тяжких и особо тяжких",7611
"Саратовская область","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе экономической направленности",1776
"Саратовская область","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде) ",14262
"Саратовская область","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе тяжких и особо тяжких",3847
"Саратовская область","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе экономической направленности",985
"Саратовская область","3_4","Число тяжких и особо тяжких преступлений, совершенных на улицах, площадях, в парках, скверах, по отношению к 2011 году (%)","36,41025641"
"Саратовская область","3_4","Количество тяжких и особо тяжких преступлений, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых тяжких и особо тяжких преступлений), по отношению к 2011 году (%)","31,4806958"
"Саратовская область","3_4","Количество преступлений, предусмотренных ст.ст. 105-107 УК РФ, в том числе с применением ч. 3 ст. 30 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых убийств), по отношению к 2011 году (%)","-89,47368421"
"Саратовская область","3_4","Количество преступлений, предусмотренных ст. 111 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых умышленных причинений тяжкого вреда здоровью), по отношению к 2011 году (%)","-96,77419355"
"Саратовская область","3_4","Количество преступлений, предусмотренных ст. 162 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых разбоев), по отношению к 2011 году (%)","-98,03921569"
"Саратовская область","3_4","Доля несовершеннолетних участников преступлений от численности детского населения в возрасте от 14 до 17 лет (%)","0,310168497"
"Ульяновская область","3_4","Количество преступлений, зарегистрированных в отчетном периоде",11277
"Ульяновская область","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе тяжких и особо тяжких",3048
"Ульяновская область","3_4","Количество преступлений, зарегистрированных в отчетном периоде, в том числе экономической направленности",722
"Ульяновская область","3_4","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде) ",7215
